id,question,answer_a,answer_b,answer_c,answer_d,correct,tag,subtag,explanation
1,Quelle est la devise officielle de la France ?,"Liberté, Justice, Solidarité","Liberté, Égalité, Fraternité","Unité, Travail, Progrès","Liberté, Égalité, Propriété","Liberté, Égalité, Fraternité",VIR,1,C'est le symbole du patrimoine national inscrit dans la Constitution.
2,En quelle année la devise est-elle apparue pour la première fois ?,1789,1848,1958,1901,1789,VIR,1,Elle apparaît pendant la Révolution française quand les citoyens demandent plus de justice.
4,Quel est le principe fondamental de la Liberté en France ?,Faire tout ce qu'on veut,Ma liberté ne doit pas gêner celle des autres,Réservée aux citoyens nés en France,Elle est plus importante que la loi,Ma liberté ne doit pas gêner celle des autres,VIR,1,La liberté consiste à pouvoir faire tout ce qui ne nuit pas à autrui.
6,Quel comportement est une discrimination interdite par la loi ?,Tarifs réduits pour étudiants,Traiter mal quelqu'un selon son origine ou religion,Demander des compétences spécifiques,Fixer des prix différents,Traiter mal quelqu'un selon son origine ou religion,VIR,1,La discrimination est punie par des amendes ou de la prison.
7,Comment l'État français met-il en pratique la Fraternité ?,"Par la solidarité collective (RSA, Sécurité sociale)",Obligation de vivre avec ses voisins,Repas obligatoires les jours de fête,Interdiction des conflits,"Par la solidarité collective (RSA, Sécurité sociale)",VIR,1,La fraternité se traduit par l'aide aux plus démunis.
8,Que signifie le mot "Laïcité" en France ?,L'État ne s'occupe pas de religion et garantit la liberté de culte,L'interdiction de toutes les religions,L'obligation d'être catholique,Le mélange du politique et du religieux,L'État ne s'occupe pas de religion et garantit la liberté de culte,LAI,1,La laïcité permet à chacun de pratiquer sa religion ou de ne pas en avoir.
10,Quelle est la langue officielle de la France ?,L'anglais et le français,Le français uniquement,Le français et les langues régionales,Le latin,Le français uniquement,VIR,1,L'usage du français est obligatoire pour les documents officiels et l'enseignement.
11,Quel est l'emblème national de la France ?,Le Coq gaulois,Le drapeau bleu blanc rouge,La Tour Eiffel,Le lys,Le drapeau bleu blanc rouge,VIR,1,Le drapeau tricolore est le seul emblème national défini par la Constitution.
12,Comment s'appelle l'hymne national français ?,La Marseillaise,Le Chant du départ,L'Ode à la joie,La Parisienne,La Marseillaise,VIR,1,C'est un chant patriotique qui symbolise la défense de la République.
14,Qui est Marianne ?,Une ancienne reine de France,L'allégorie de la République,Une célèbre chanteuse,La première femme présidente,L'allégorie de la République,VIR,1,Marianne porte le bonnet phrygien et représente la liberté.
15,Où peut-on voir le buste de Marianne ?,Dans les gares,Dans toutes les mairies,Uniquement à Paris,Dans les écoles privées,Dans toutes les mairies,VIR,1,Marianne est présente dans les lieux officiels de la République.
16,Que fête-t-on le 14 juillet ?,La fin de la Seconde Guerre mondiale,La fête nationale (Prise de la Bastille),La naissance de Napoléon,La fête du travail,La fête nationale (Prise de la Bastille),VIR,1,C'est le jour qui unit tous les Français autour des valeurs de 1789.
18,Quel est l'un des devoirs principaux d'un citoyen ?,Partir en vacances en France,Respecter les lois,Posséder une voiture,Travailler dans l'administration,Respecter les lois,VIR,1,Nul n'est censé ignorer la loi et tout le monde doit s'y soumettre.
19,Payer ses impôts est-il un devoir ?,Non c'est facultatif,"Oui, c'est obligatoire pour financer les services publics",Uniquement pour les riches,Seulement si on utilise les hôpitaux,"Oui, c'est obligatoire pour financer les services publics",VIR,1,L'impôt permet de payer les écoles, la police et les routes.
20,Qui a le droit de voter aux élections nationales ?,Tous les résidents en France,Uniquement les citoyens français majeurs,Toute personne de plus de 16 ans,Seulement ceux qui travaillent,Uniquement les citoyens français majeurs,VIR,1,Le vote est un droit fondamental lié à la citoyenneté.
22,Peut-on être forcé de pratiquer une religion ?,Oui si la famille le demande,Non la liberté de culte est totale,Seulement à l'école,Uniquement pendant les fêtes,Non la liberté de culte est totale,LAI,2,Nul ne peut être contraint au respect de dogmes ou de prescriptions religieuses.
23,Les services publics (mairies, préfectures) sont-ils neutres ?,Non ils préfèrent certaines religions,"Oui, ils ne manifestent aucune préférence religieuse",Ils doivent afficher des signes religieux,Ils ne parlent jamais de religion,"Oui, ils ne manifestent aucune préférence religieuse",LAI,2,Les agents publics doivent être impartiaux et neutres.
24,Les élèves peuvent-ils porter des signes religieux ostensibles à l'école publique ?,Oui c'est un droit,Non c'est interdit par la loi de 2004,Seulement les petits signes,Uniquement à l'université,Non c'est interdit par la loi de 2004,LAI,2,L'école publique est un espace de neutralité pour protéger les élèves.
25,Quel est l'objectif de la laïcité à l'école ?,Supprimer les religions,Permettre aux élèves de forger leur propre opinion,Enseigner la Bible,Favoriser l'athéisme,Permettre aux élèves de forger leur propre opinion,LAI,2,La laïcité garantit la liberté de conscience des futurs citoyens.
26,La France est une République démocratique. Qu'est-ce que cela signifie ?,Le pouvoir appartient au roi,Le peuple choisit ses représentants par le vote,L'armée dirige le pays,Une seule personne décide de tout,Le peuple choisit ses représentants par le vote,DEM,3,Le mot démocratie vient du grec "pouvoir au peuple".
27,Qui est le chef de l'État en France ?,Le Premier ministre,Le Président de la République,Le Président de l'Assemblée,Le Roi,Le Président de la République,DEM,3,Le Président est élu au suffrage universel direct pour 5 ans.
28,Où se réunissent les députés pour voter les lois ?,Au Palais de l'Élysée,À l'Assemblée nationale,À la mairie de Paris,À la Cour de Cassation,À l'Assemblée nationale,DEM,3,Les députés représentent le peuple et siègent au Palais Bourbon.
29,Combien de fois peut-on être élu Président consécutivement ?,À l'infini,Deux fois,Trois fois,Une seule fois,Deux fois,DEM,3,Le mandat présidentiel est de 5 ans (quinquennat) renouvelable une fois.
30,Quel document définit les règles de fonctionnement de la République ?,Le Code de la route,La Constitution,Le dictionnaire,Le journal officiel,La Constitution,DEM,3,La Constitution actuelle est celle de la 5ème République (1958).
